,mistake,fix,mistake freq,fix freq,type,1
675,queries,mutations,8.0,44.0,Standard,1
676,query,mutation,29.0,88.0,Standard,1
677,examples,example,97.0,1527.0,Insertion,3
678,restart,stop,30.0,36071.0,Standard,1
679,Runs,Upgrade,1637.0,110.0,Standard,1
680,Future,Function,5278.0,565.0,Standard,1
681,stride,s,107.0,1057301.0,Compound,1
682,Steps,Statements,1259.0,279.0,Standard,1
683,prefix,prefixes,21.0,2.0,Compound,1
684,up,test,187170.0,4288.0,Standard,1
685,Not,Now,276673.0,163333.0,Substitution,1
686,form,from,2180.0,103992.0,Exchange,4
687,houses,greenhouses,975.0,4.0,Compound,1
688,Set,The,11805.0,1501908.0,Standard,1
689,dat,data,61.0,1306.0,Deletion,1
690,user,sure,79.0,56091.0,Exchange,1
693,user,use,79.0,17536.0,Insertion,2
694,with,width,257465.0,35.0,Deletion,1
695,columns,column,141.0,559.0,Insertion,1
696,has,as,57830.0,113068.0,Insertion,2
697,to,switch,1156570.0,1434.0,Standard,1
698,then,than,75966.0,37679.0,Substitution,7
699,in,it,498444.0,963712.0,Substitution,1
701,not,no,276673.0,304549.0,Insertion,2
702,setup,source,440.0,1437.0,Standard,1
703,copy,Copy,2666.0,2666.0,Caps Error,1
704,width,flex,35.0,50.0,Standard,1
705,second,first,14513.0,42869.0,Standard,1
706,tu,to,163.0,1156570.0,Substitution,1
707,medium,dark,362.0,4519.0,Standard,1
708,dark,medium,4519.0,362.0,Standard,1
709,components,component,84.0,81.0,Insertion,1
710,feedback,Feedback,140.0,140.0,Caps Error,1
711,Lean,Learn,529.0,6047.0,Deletion,1
712,that,the,719677.0,1501908.0,Standard,1
713,all,be,263255.0,293085.0,Standard,1
714,can,the,267620.0,1501908.0,Standard,1
716,them,then,90720.0,75966.0,Substitution,1
717,it,a,963712.0,1041179.0,Standard,1
718,is,that,459663.0,719677.0,Standard,1
719,with,within,257465.0,3017.0,Compound,1
720,go,to,193445.0,1156570.0,Substitution,1
721,before,Before,40501.0,40501.0,Caps Error,1
722,Clone,clone,128.0,128.0,Caps Error,1
723,Download,download,168.0,168.0,Caps Error,1
724,Train,train,4848.0,4848.0,Caps Error,1
725,Test,test,4288.0,4288.0,Caps Error,1
728,arguments,argument,230.0,867.0,Insertion,1
729,uploaded,downloaded,21.0,77.0,Standard,1
731,selected,profiles,249.0,50.0,Standard,1
732,classes,class,812.0,5985.0,Compound,1
733,orientated,oriented,5.0,27.0,Standard,1
734,positive,neutral,1613.0,215.0,Standard,1
735,positive,negative,1613.0,1308.0,Standard,1
736,immediate,immediately,571.0,2446.0,Compound,1
737,crated,created,6.0,1195.0,Deletion,1
738,on,window,354742.0,4386.0,Standard,1
740,determined,determines,671.0,46.0,Substitution,1
741,ie,is,14.0,459663.0,Substitution,1
743,rit,git,6.0,101.0,Substitution,1
744,code,core,2709.0,501.0,Substitution,1
745,i,j,2038529.0,4026.0,Substitution,1
747,action,msg,3115.0,10.0,Standard,2
751,View,Image,1965.0,1154.0,Standard,1
752,shadow,shadows,1080.0,583.0,Deletion,1
753,Reader,Header,278.0,25.0,Substitution,1
754,an,can,95071.0,267620.0,Deletion,1
755,use,is,17536.0,459663.0,Standard,1
756,thanks,than,31789.0,37679.0,Compound,1
759,fro,for,58.0,351650.0,Exchange,1
760,just,Just,242206.0,242206.0,Caps Error,1
762,book,books,9026.0,3456.0,Deletion,1
763,to,the,1156570.0,1501908.0,Standard,2
764,event,emits,1345.0,18.0,Standard,1
765,to,our,1156570.0,71425.0,Standard,1
767,and,such,682780.0,14852.0,Standard,1
768,cured,curved,308.0,31.0,Deletion,1
769,bt,by,10.0,68364.0,Substitution,2
771,Headset,Headsets,42.0,22.0,Deletion,1
772,The,There,1501908.0,221754.0,Compound,2
773,OPEN,Open,16341.0,16341.0,Caps Error,1
774,selected,select,249.0,180.0,Compound,3
777,is,instruction,459663.0,103.0,Standard,1
778,starts,completes,2335.0,46.0,Standard,1
779,bellow,below,23.0,1430.0,Insertion,14
785,make,find,70775.0,42379.0,Standard,1
786,Introduce,Boy,1771.0,27021.0,Standard,1
787,Oftentimes,Often,20.0,2925.0,Compound,1
788,current,root,869.0,534.0,Standard,1
789,props,NOTE,152.0,2731.0,Standard,1
792,to,so,1156570.0,216452.0,Substitution,1
793,be,by,293085.0,68364.0,Substitution,2
795,based,with,1357.0,257465.0,Standard,1
796,describing,the,118.0,1501908.0,Standard,1
797,Alternating,Block,21.0,2067.0,Standard,1
798,react,React,385.0,385.0,Caps Error,1
799,hand,handful,14262.0,291.0,Compound,1
800,be,depend,293085.0,504.0,Standard,1
801,on,an,354742.0,95071.0,Substitution,1
803,state,props,5500.0,152.0,Standard,1
804,prior,version,422.0,828.0,Standard,1
805,note,not,2731.0,276673.0,Insertion,1
806,begging,beginning,766.0,3219.0,Standard,1
807,a,with,1041179.0,257465.0,Standard,1
809,Cared,Cards,723.0,2449.0,Standard,1
811,locate,locale,524.0,16.0,Substitution,1
814,two,files,54384.0,1358.0,Standard,1
815,any,all,56068.0,263255.0,Standard,1
816,two,three,54384.0,27654.0,Standard,7
817,enzyme,Karma,54.0,176.0,Standard,1
818,in,on,498444.0,354742.0,Substitution,3
822,Window,Windows,4386.0,1190.0,Deletion,1
823,Log,Sign,610.0,6797.0,Standard,1
824,our,your,71425.0,328715.0,Deletion,1
825,Knowledge,Uncertain,1302.0,121.0,Standard,1
827,ration,ratio,66.0,164.0,Insertion,2
828,for,and,351650.0,682780.0,Standard,1
830,ur,our,34.0,71425.0,Deletion,1
831,register,add,561.0,1686.0,Standard,1
832,when,form,103739.0,2180.0,Standard,1
833,super,superseded,1336.0,8.0,Compound,1
834,stings,strings,88.0,418.0,Deletion,1
835,Setup,an,440.0,95071.0,Standard,1
836,Calender,Calendar,3.0,363.0,Substitution,4
847,Finally,We,5989.0,459607.0,Standard,1
848,on,with,354742.0,257465.0,Standard,1
849,exists,exist,575.0,1477.0,Insertion,1
850,that,than,719677.0,37679.0,Substitution,2
851,works,work,5357.0,40699.0,Insertion,4
852,If,if,180610.0,180610.0,Caps Error,1
853,Rating,rating,112.0,112.0,Caps Error,1
855,them,the,90720.0,1501908.0,Insertion,1
858,complied,compiled,13.0,29.0,Exchange,8
867,The,the,1501908.0,1501908.0,Caps Error,2
868,Support,Supports,2587.0,105.0,Deletion,2
870,tasks,concurrent,85.0,11.0,Standard,1
871,Single,Supports,3676.0,105.0,Standard,1
872,build,building,2452.0,5078.0,Compound,1
873,Welcome,Translations,9140.0,22.0,Standard,1
874,are,actually,265672.0,16439.0,Standard,1
875,the,an,1501908.0,95071.0,Standard,1
878,Patters,Patterns,3.0,253.0,Deletion,1
879,wile,while,21.0,17821.0,Deletion,1
880,token,tokens,205.0,56.0,Deletion,1
881,accepts,accept,106.0,2692.0,Insertion,1
882,hard,hand,15700.0,14262.0,Substitution,1
883,value,operator,1097.0,836.0,Standard,1
884,m,n,343245.0,2810.0,Substitution,1
885,than,that,37679.0,719677.0,Substitution,2
887,once,one,17589.0,156684.0,Insertion,1
888,latin,Latin,561.0,561.0,Caps Error,1
889,n,zero,2810.0,1094.0,Standard,1
890,do,cover,312915.0,4808.0,Standard,1
891,cover,the,4808.0,1501908.0,Standard,1
892,As,An,113068.0,95071.0,Substitution,1
893,in,is,498444.0,459663.0,Substitution,2
894,given,give,4851.0,59559.0,Insertion,1
895,type,types,3093.0,479.0,Deletion,1
896,will,corresponds,108306.0,18.0,Standard,1
897,its,users,8757.0,63.0,Standard,1
898,library,libraries,1170.0,35.0,Standard,1
899,to,top,1156570.0,6805.0,Deletion,1
900,that,only,719677.0,55269.0,Standard,2
902,evaluate,enable,88.0,75.0,Standard,5
907,For,Windows,351650.0,1190.0,Standard,2
909,We,Thanks,459607.0,31789.0,Standard,1
910,this,these,406915.0,46104.0,Standard,4
912,versions,manually,62.0,83.0,Standard,1
914,do,does,312915.0,34002.0,Compound,2
916,Brain,brain,3928.0,3928.0,Caps Error,1
917,a,the,1041179.0,1501908.0,Standard,4
918,expression,expressions,651.0,51.0,Deletion,1
919,window,windows,4386.0,1190.0,Deletion,1
920,heigh,height,14.0,476.0,Deletion,1
921,Add,size,1686.0,2353.0,Standard,1
923,a,component,1041179.0,81.0,Standard,1
924,this,thus,406915.0,628.0,Substitution,1
925,Extent,Event,207.0,1345.0,Standard,1
926,condition,category,1936.0,207.0,Standard,1
927,operations,management,600.0,594.0,Standard,1
931,version,versions,828.0,62.0,Deletion,1
932,numerical,the,20.0,1501908.0,Standard,2
933,on,measured,354742.0,144.0,Standard,1
934,about,accumulation,185206.0,13.0,Standard,1
935,just,added,242206.0,492.0,Standard,1
936,literary,literally,130.0,739.0,Standard,1
937,make,enable,70775.0,75.0,Standard,1
938,will,is,108306.0,459663.0,Standard,2
939,a,another,1041179.0,25970.0,Standard,1
940,untill,until,15.0,15426.0,Insertion,1
941,Down,down,76004.0,76004.0,Caps Error,1
942,python,Python,79.0,79.0,Caps Error,1
943,merely,binds,795.0,38.0,Standard,1
944,a,digital,1041179.0,275.0,Standard,1
945,Load,Fly,1490.0,4335.0,Standard,1
946,goals,query,262.0,29.0,Standard,2
948,reverse,reverses,560.0,17.0,Deletion,1
949,element,elements,338.0,352.0,Deletion,1
950,Clones,pushes,45.0,139.0,Standard,1
952,represent,represents,773.0,313.0,Deletion,1
955,the,The,1501908.0,1501908.0,Caps Error,6
956,the,sets,1501908.0,761.0,Standard,1
957,Creat,Create,2.0,1289.0,Deletion,1
958,data,versions,1306.0,62.0,Standard,2
961,will,may,108306.0,26080.0,Standard,1
962,instruct,configure,85.0,9.0,Standard,1
963,of,other,590439.0,37505.0,Standard,1
964,contents,content,219.0,389.0,Insertion,1
966,Chapters,Chapter,101.0,604.0,Insertion,1
967,summery,summary,6.0,85.0,Substitution,1
968,some,an,88089.0,95071.0,Standard,1
969,mention,user,3033.0,79.0,Standard,1
970,require,requires,542.0,489.0,Deletion,1
971,II,In,57.0,498444.0,Substitution,1
972,Installation,installation,72.0,72.0,Caps Error,2
975,table,tables,5387.0,599.0,Deletion,2
976,As,This,113068.0,406915.0,Standard,2
977,want,must,140718.0,35661.0,Standard,2
983,value,values,1097.0,432.0,Deletion,1
985,are,consist,265672.0,22.0,Standard,1
987,are,may,265672.0,26080.0,Standard,2
990,be,have,293085.0,314232.0,Standard,1
991,the,scope,1501908.0,286.0,Standard,1
992,lest,least,100.0,10596.0,Deletion,1
993,one,once,156684.0,17589.0,Deletion,1
994,for,about,351650.0,185206.0,Standard,1
995,default,info,51.0,189.0,Standard,1
996,ca,can,109.0,267620.0,Deletion,1
997,is,allows,459663.0,279.0,Standard,1
998,Basic,Form,794.0,2180.0,Standard,1
999,whole,the,19660.0,1501908.0,Standard,1
1000,error,errors,473.0,87.0,Deletion,1
1001,strait,straight,9.0,6244.0,Standard,1
1002,relay,rely,152.0,366.0,Insertion,1
1004,second,seconds,14513.0,3603.0,Deletion,1
1005,employ,employing,171.0,14.0,Compound,1
1006,Add,Added,1686.0,492.0,Compound,1
1007,Update,Updated,252.0,67.0,Deletion,1
1008,year,years,14174.0,29003.0,Deletion,1
1009,route,router,1089.0,15.0,Deletion,1
1010,with,while,257465.0,17821.0,Standard,1
1011,can,accepts,267620.0,106.0,Standard,1
1013,integers,strings,2.0,418.0,Standard,1
1014,terminated,,147.0,27.0,Standard,1
1015,a,already,1041179.0,16246.0,Standard,1
1016,hat,that,3273.0,719677.0,Deletion,1
1018,operators,operator,75.0,836.0,Insertion,1
1019,on,from,354742.0,103992.0,Standard,1
1020,to,know,1156570.0,291780.0,Standard,1
1022,strait,straightforward,9.0,102.0,Standard,1
1024,thou,though,1144.0,9279.0,Compound,1
1025,done,written,24737.0,2247.0,Standard,1
1026,does,do,34002.0,312915.0,Compound,1
1027,you,would,2134713.0,90162.0,Standard,1
1028,strings,too,418.0,69950.0,Standard,1
1029,try,tries,24314.0,807.0,Standard,1
1030,Rack,Rake,397.0,152.0,Standard,1
1031,notify,notifying,367.0,23.0,Compound,1
1032,directory,examples,84.0,97.0,Standard,1
1033,transformation,transformations,101.0,8.0,Deletion,1
1034,appearance,state,591.0,5500.0,Standard,1
1035,object,objects,1314.0,444.0,Deletion,1
1036,at,in,164072.0,498444.0,Standard,1
1037,to,where,1156570.0,93341.0,Standard,1
1038,and,searched,682780.0,406.0,Standard,1
1041,Open,Within,16341.0,3017.0,Standard,1
1042,bit,bits,11987.0,549.0,Deletion,1
1043,you,interaction,2134713.0,60.0,Standard,1
1044,a,health,1041179.0,2054.0,Standard,1
1045,Heath,Health,95.0,2054.0,Deletion,1
1046,If,You,180610.0,2134713.0,Standard,1
1049,a,separate,1041179.0,1107.0,Standard,1
1050,currently,available,351.0,1323.0,Standard,1
1051,Classical,classical,224.0,224.0,Caps Error,2
1053,weight,weights,1850.0,136.0,Deletion,1
1054,install,gym,138.0,927.0,Standard,1
1055,Formally,Formerly,106.0,123.0,Standard,1
1057,is,designed,459663.0,894.0,Standard,1
1058,The,It,1501908.0,963712.0,Standard,1
1061,ros,rows,9.0,92.0,Deletion,1
1062,can,add,267620.0,1686.0,Standard,1
1063,options,to,715.0,1156570.0,Standard,1
1064,included,alongside,382.0,192.0,Standard,1
1065,grid,Grid,282.0,282.0,Caps Error,1
1066,scenes,scene,428.0,3807.0,Insertion,1
1067,from,on,103992.0,354742.0,Standard,1
1069,Debugging,Validation,2.0,36.0,Standard,1
1070,class,range,5985.0,1161.0,Standard,1
1071,cases,case,1436.0,14403.0,Insertion,1
1072,hight,high,3.0,9945.0,Insertion,1
1073,Interpolation,Writing,2.0,2852.0,Standard,1
1074,can,you,267620.0,2134713.0,Standard,2
1075,It,If,963712.0,180610.0,Substitution,1
1076,reply,rely,245.0,366.0,Insertion,1
1077,groups,group,471.0,3762.0,Insertion,1
1078,to,up,1156570.0,187170.0,Standard,1
1079,replaces,replaced,23.0,421.0,Substitution,1
1080,stores,store,485.0,4178.0,Insertion,1
1082,incase,case,9.0,14403.0,Compound,2
1084,add,Add,1686.0,1686.0,Caps Error,1
1085,just,from,242206.0,103992.0,Standard,1
1086,a,frequency,1041179.0,337.0,Standard,1
1087,time,times,99890.0,11221.0,Deletion,1
1088,performing,scaling,325.0,10.0,Standard,1
1089,image,images,1154.0,401.0,Deletion,1
1090,the,sampled,1501908.0,24.0,Standard,2
1092,var,final,7.0,2533.0,Standard,1
1093,INFO,NOTE,189.0,2731.0,Standard,1
1094,task,tasks,649.0,85.0,Deletion,1
1095,TIP,NOTE,1409.0,2731.0,Standard,1
1096,where,were,93341.0,84804.0,Insertion,2
1098,saved,save,3558.0,8278.0,Insertion,2
1100,da,dar,1183.0,68.0,Deletion,1
1101,wich,that,9.0,719677.0,Standard,3
1104,recursive,true,3.0,12921.0,Standard,1
1105,support,supports,2587.0,105.0,Deletion,1
1106,bring,brings,16685.0,1791.0,Deletion,1
1107,in,within,498444.0,3017.0,Compound,1
1108,property,properties,1698.0,162.0,Standard,1
1110,class,interface,5985.0,77.0,Standard,1
1111,current,member,869.0,1468.0,Standard,1
1113,package,packages,1162.0,199.0,Deletion,1
1114,the,correct,1501908.0,2292.0,Standard,1
1115,This,this,406915.0,406915.0,Caps Error,1
1116,manager,manage,2038.0,1095.0,Insertion,1
1118,now,no,163333.0,304549.0,Insertion,1
1119,project,projects,1907.0,285.0,Deletion,2
1120,Final,The,2533.0,1501908.0,Standard,1
1121,is,takes,459663.0,5986.0,Standard,1
1122,To,An,1156570.0,95071.0,Standard,1
1123,to,by,1156570.0,68364.0,Standard,1
1124,alert,r,1051.0,3579.0,Compound,1
1125,pull,pool,7469.0,2396.0,Standard,1
1126,three,two,27654.0,54384.0,Standard,1
1127,which,is,24339.0,459663.0,Standard,1
1128,let,repository,123381.0,13.0,Standard,1
1129,four,five,13045.0,14558.0,Standard,1
1131,ten,then,7395.0,75966.0,Deletion,1
1132,exception,expression,409.0,651.0,Standard,1
1133,types,type,479.0,3093.0,Insertion,1
1135,previous,template,484.0,21.0,Standard,1
1136,so,The,216452.0,1501908.0,Standard,1
1137,manage,manager,1095.0,2038.0,Deletion,1
1138,pubic,public,60.0,3625.0,Deletion,1
1142,us,are,86478.0,265672.0,Standard,1
1143,windows,Windows,1190.0,1190.0,Caps Error,1
1144,fond,found,629.0,20196.0,Deletion,1
1145,help,helps,46977.0,1084.0,Deletion,1
1146,in,to,498444.0,1156570.0,Standard,1
1147,be,but,293085.0,225291.0,Standard,1
1148,future,futures,5278.0,83.0,Deletion,1
1149,item,error,628.0,473.0,Standard,1
1152,Create,virtual,1289.0,133.0,Standard,1
1153,Exit,virtual,794.0,133.0,Standard,1
1154,of,or,590439.0,86970.0,Substitution,1
1155,extension,funding,275.0,162.0,Standard,1
1156,on,the,354742.0,1501908.0,Standard,1
1157,Make,for,70775.0,351650.0,Standard,1
1158,our,program,71425.0,2174.0,Standard,1
1159,it,the,963712.0,1501908.0,Standard,1
1162,are,is,265672.0,459663.0,Standard,1
1163,all,allow,263255.0,2263.0,Compound,1
1164,string,answer,646.0,8986.0,Standard,1
1165,and,groups,682780.0,471.0,Standard,1
1166,contains,contain,260.0,310.0,Insertion,2
1168,a,slightly,1041179.0,576.0,Standard,1
1170,when,if,103739.0,180610.0,Standard,1
1171,some,more,88089.0,66228.0,Standard,2
1174,pantheon,Pantheon,21.0,21.0,Caps Error,1
1175,maven,Maven,5.0,5.0,Caps Error,1
1176,contain,contains,310.0,260.0,Deletion,2
1178,classes,functions,812.0,201.0,Standard,1
1179,including,include,1405.0,568.0,Standard,1
1181,D,dD,101335.0,300.0,Deletion,1
1182,extraordinaire,extraordinary,33.0,771.0,Standard,1
1185,Sidebar,The,47.0,1501908.0,Standard,1
1186,Application,Only,510.0,55269.0,Standard,1
1187,Three,Tree,27654.0,3315.0,Insertion,1
1188,detailed,details,200.0,1481.0,Standard,1
1190,backwards,backward,667.0,159.0,Insertion,1
1191,as,was,113068.0,288391.0,Deletion,1
1192,arrive,arrived,953.0,1949.0,Deletion,1
1195,tool,and,548.0,682780.0,Standard,1
1196,receive,received,992.0,1436.0,Deletion,1
1197,use,be,17536.0,293085.0,Standard,3
1198,Others,Other,5061.0,37505.0,Insertion,1
1199,is,its,459663.0,8757.0,Deletion,1
1200,have,has,314232.0,57830.0,Standard,1
1201,too,to,69950.0,1156570.0,Insertion,1
1202,Latest,Package,955.0,1162.0,Standard,1
1203,make,made,70775.0,28626.0,Substitution,1
1204,contribute,contributed,194.0,86.0,Deletion,1
1205,Title,Titre,947.0,2.0,Substitution,1
1206,witch,which,1410.0,24339.0,Standard,1
1208,the,source,1501908.0,1437.0,Standard,1
1209,sources,source,419.0,1437.0,Insertion,1
1210,follow,following,6283.0,2310.0,Compound,1
1212,threw,through,2082.0,28026.0,Standard,3
1214,affect,effect,568.0,1219.0,Substitution,1
1215,Chat,Charts,830.0,333.0,Standard,1
1216,below,file,1430.0,2246.0,Standard,3
1218,when,the,103739.0,1501908.0,Standard,1
1221,links,link,141.0,609.0,Insertion,1
1222,scrap,scrape,223.0,210.0,Deletion,1
1224,of,matching,590439.0,230.0,Standard,1
1227,the,page,1501908.0,1912.0,Standard,1
1228,attribute,to,45.0,1156570.0,Standard,1
1229,can,transform,267620.0,112.0,Standard,1
1230,read,follow,12302.0,6283.0,Standard,1
1232,ont,on,10.0,354742.0,Insertion,1
1238,had,try,85472.0,24314.0,Standard,1
1239,were,are,84804.0,265672.0,Standard,1
1240,The,When,1501908.0,103739.0,Standard,1
1242,Not,Note,276673.0,2731.0,Deletion,1
1243,bought,brought,4362.0,8786.0,Deletion,1
1244,their,there,33413.0,221754.0,Standard,1
1245,library,This,1170.0,406915.0,Standard,1
1246,can,even,267620.0,44672.0,Standard,1
1247,thank,thanks,56877.0,31789.0,Deletion,1
1248,only,focus,55269.0,1499.0,Standard,1
1249,not,extract,276673.0,150.0,Standard,1
1252,It,This,963712.0,406915.0,Standard,1
1253,basis,basics,609.0,114.0,Deletion,1
1254,under,underlying,13358.0,64.0,Compound,2
1255,veterans,developers,95.0,25.0,Standard,2
1256,allow,enable,2263.0,75.0,Standard,2
1257,it,we,963712.0,459607.0,Standard,1
1258,equiped,equipped,4.0,217.0,Deletion,1
1259,roll,role,3227.0,929.0,Substitution,1
1260,match,eat,2521.0,12846.0,Standard,1
1261,and,to,682780.0,1156570.0,Standard,1
1262,sets,set,761.0,11805.0,Insertion,1
1264,isn,is,29886.0,459663.0,Insertion,1
1265,release,releases,1851.0,89.0,Deletion,1
1266,in,into,498444.0,43074.0,Compound,1
1267,both,on,15062.0,354742.0,Standard,1
1268,on,both,354742.0,15062.0,Standard,1
1269,record,records,4365.0,2066.0,Deletion,1
1270,liens,lies,4.0,1883.0,Insertion,1
1273,advices,advice,3.0,2447.0,Insertion,1
1274,an,address,95071.0,2666.0,Standard,1
1276,in,at,498444.0,164072.0,Standard,1
1277,City,city,8624.0,8624.0,Caps Error,1
1278,options,Options,715.0,715.0,Caps Error,1
1279,events,Events,860.0,860.0,Caps Error,1
1280,got,has,168631.0,57830.0,Standard,1
1281,tile,title,108.0,947.0,Deletion,1
1282,date,data,7218.0,1306.0,Substitution,1
1284,fit,it,2937.0,963712.0,Insertion,1
1285,pon,on,17.0,354742.0,Insertion,1
1286,first,fits,42869.0,654.0,Standard,1
1287,thank,than,56877.0,37679.0,Insertion,1
1288,no,a,304549.0,1041179.0,Standard,1
1289,slave,master,940.0,4450.0,Standard,1
1290,accordingly,according,93.0,2135.0,Compound,1
1291,extend,extent,327.0,207.0,Substitution,1
1293,made,make,28626.0,70775.0,Substitution,1
1294,to,For,1156570.0,351650.0,Standard,1
1295,you,how,2134713.0,155867.0,Standard,1
1296,appartement,apartment,2.0,4235.0,Standard,1
1297,tha,the,632.0,1501908.0,Substitution,1
1299,None,none,5641.0,5641.0,Caps Error,3
1300,themes,theme,57.0,710.0,Insertion,1
1301,og,or,32.0,86970.0,Substitution,1
1303,theme,themes,710.0,57.0,Deletion,4
1307,mayor,major,1595.0,5343.0,Substitution,2
1309,unix,Unix,17.0,17.0,Caps Error,1
1313,ad,at,694.0,164072.0,Substitution,1
1314,This,Or,406915.0,86970.0,Standard,1
1315,watch,daemon,16831.0,13.0,Standard,1
1316,render,connect,103.0,492.0,Standard,1
1317,examples,source,97.0,1437.0,Standard,1
1318,calculated,calculate,120.0,106.0,Insertion,2
1323,display,displayed,435.0,75.0,Compound,2
1324,option,options,736.0,715.0,Deletion,1
1325,colors,category,528.0,207.0,Standard,3
1328,widgets,are,3.0,265672.0,Standard,1
1330,retrieve,retrieved,210.0,42.0,Deletion,1
1331,synchronise,synchronize,10.0,34.0,Substitution,1
1333,is,ist,459663.0,38.0,Deletion,1
1334,sample,samples,744.0,442.0,Deletion,1
1335,mad,mac,5784.0,1440.0,Substitution,1
1337,target,targets,1936.0,340.0,Deletion,1
1342,Code,Add,2709.0,1686.0,Standard,1
1343,main,master,2179.0,4450.0,Standard,1
1344,download,downloads,168.0,10.0,Deletion,1
1345,script,scripts,1000.0,119.0,Deletion,1
1346,Maven,Alfresco,5.0,7.0,Standard,1
1347,your,of,328715.0,590439.0,Standard,1
1348,mere,merge,401.0,71.0,Deletion,1
1349,discussions,discussion,86.0,619.0,Insertion,1
1350,from,across,103992.0,4801.0,Standard,1
1351,But,In,225291.0,498444.0,Standard,1
1352,Some,Already,88089.0,16246.0,Standard,1
1353,the,work,1501908.0,40699.0,Standard,1
1354,publish,archive,260.0,67.0,Standard,1
1355,they,these,209250.0,46104.0,Standard,1
1356,te,the,150.0,1501908.0,Deletion,1
1357,will,let,108306.0,123381.0,Standard,1
1358,data,date,1306.0,7218.0,Substitution,1
1359,it,before,963712.0,40501.0,Standard,1
1360,writing,waiting,2852.0,10767.0,Substitution,1
1361,But,If,225291.0,180610.0,Standard,1
1362,file,fine,2246.0,30502.0,Substitution,1
1363,Was,Not,288391.0,276673.0,Standard,1
1365,var,let,7.0,123381.0,Standard,1
1366,by,of,68364.0,590439.0,Standard,1
1367,Hackers,Hacker,59.0,108.0,Insertion,1
1369,your,data,328715.0,1306.0,Standard,1
1370,Usage,Documentation,26.0,69.0,Standard,1
1371,the,users,1501908.0,63.0,Standard,1
1372,CANCELLED,CANCELED,332.0,372.0,Insertion,1
1373,Changs,Changes,7.0,1481.0,Deletion,1
1374,abort,panic,235.0,1114.0,Standard,3
1378,the,above,1501908.0,2493.0,Standard,1
1379,c,C,4675.0,4675.0,Caps Error,1
1380,contains,consists,260.0,68.0,Standard,1
1381,two,four,54384.0,13045.0,Standard,1
1382,t,to,733338.0,1156570.0,Deletion,1
1383,stream,streams,410.0,80.0,Deletion,1
1387,every,holding,28007.0,3530.0,Standard,1
1388,bound,values,940.0,432.0,Standard,1
1389,block,blocks,2067.0,765.0,Deletion,1
1391,object,attributes,1314.0,38.0,Standard,1
1392,Controllers,controllers,26.0,26.0,Caps Error,1
1393,both,the,15062.0,1501908.0,Standard,1
1394,using,mustache,3520.0,252.0,Standard,1
1395,ruby,java,607.0,78.0,Standard,3
1402,want,to,140718.0,1156570.0,Standard,1
1403,router,routing,15.0,36.0,Standard,1
1404,indexes,indices,4.0,2.0,Standard,1
1405,On,Make,354742.0,70775.0,Standard,1
1406,an,the,95071.0,1501908.0,Standard,1
1410,ruby,python,607.0,79.0,Standard,1
